architecture,log,setting,freezed_layers,dls,mae,mae_denormalised,nb_worst_situs
GPT,helpdesk.csv,RTFMP,"['0', '2', '3']",0.8472,0.0806,4.0395,0
GPT,helpdesk.csv,RTFMP,"['0', '1', '3']",0.8464,0.0810,4.0622,0
GPT,helpdesk.csv,RTFMP,"['0', '1']",0.8469,0.0811,4.0654,0
GPT,helpdesk.csv,RTFMP,['0'],0.8469,0.0811,4.0646,0
GPT,helpdesk.csv,RTFMP_filtered,"['0', '1', '2']",0.8610,0.0780,3.9085,1
GPT,helpdesk.csv,RTFMP_filtered,['0'],0.8615,0.0781,3.9154,0
GPT,Road_Traffic_Fine_Management_Process.xes.gz,BPIC15,"['0', '1', '2']",0.8245,0.0376,158.7306,13
GPT,Road_Traffic_Fine_Management_Process.xes.gz,BPIC15,['0'],0.8271,0.0380,160.4592,3
GPT,Road_Traffic_Fine_Management_Process.xes.gz,helpdesk,"['0', '1', '2', '3']",0.8255,0.0366,154.3746,8
GPT,Road_Traffic_Fine_Management_Process.xes.gz,helpdesk,"['0', '1', '2']",0.8254,0.0388,163.8756,2
GPT,Road_Traffic_Fine_Management_Process.xes.gz,helpdesk,"['1', '2', '3']",0.8254,0.0380,160.4174,4
GPT,Road_Traffic_Fine_Management_Process.xes.gz,helpdesk,"['0', '2', '3']",0.8254,0.0376,158.6989,0
GPT,Road_Traffic_Fine_Management_Process.xes.gz,helpdesk,"['0', '1', '3']",0.8254,0.0381,160.6712,10
GPT,Road_Traffic_Fine_Management_Process.xes.gz,helpdesk,"['0', '1']",0.8253,0.0383,161.6381,11
GPT,Road_Traffic_Fine_Management_Process.xes.gz,helpdesk,['0'],0.8253,0.0378,159.7605,2
GPT,Road_Traffic_Fine_Management_Process.xes.gz,base,,0.8281,0.0379,160.1270,15
GPT,Road_Traffic_Fine_Management_Process.xes.gz,RTFMP_filtered,"['0', '1', '2']",0.8256,0.0376,158.6166,0
GPT,Road_Traffic_Fine_Management_Process.xes.gz,RTFMP_filtered,['0'],0.8257,0.0379,160.0749,0
GPT,RTFMP_filtered.xes,base,,0.8242,0.0376,158.5406,0
GPT,Sepsis%20Cases%20-%20Event%20Log.xes.gz,BPIC15,"['0', '1', '2']",0.1063,2.2529,940.0276,2675
GPT,Sepsis%20Cases%20-%20Event%20Log.xes.gz,BPIC15,['0'],0.0956,2.3254,970.3102,2706
GPT,Sepsis%20Cases%20-%20Event%20Log.xes.gz,helpdesk,"['0', '1', '2', '3']",0.0827,0.4818,201.0194,2613
GPT,Sepsis%20Cases%20-%20Event%20Log.xes.gz,helpdesk,"['0', '1', '2']",0.0838,3.1581,1317.7649,2610
GPT,Sepsis%20Cases%20-%20Event%20Log.xes.gz,helpdesk,"['1', '2', '3']",0.0849,0.4024,167.9091,2607
GPT,Sepsis%20Cases%20-%20Event%20Log.xes.gz,helpdesk,"['0', '2', '3']",0.0831,0.4050,168.9846,2612
GPT,Sepsis%20Cases%20-%20Event%20Log.xes.gz,helpdesk,"['0', '1', '3']",0.0834,1.2772,532.9372,2611
